PASO,MODO,G-CODE MOVIMIENTO,VALOR X DE ENTRADA,POSICION FINAL X
0,ABS,Inicio,0.0,0.0
1,ABS,G0 X110.0,110.0,110.0
2,REL,G1 X-8.0,-8.0,102.0
3,REL,G1 X4.0,4.0,106.0
4,REL,G1 X8.0,8.0,114.0
5,REL,G1 X-4.0,-4.0,110.0
6,REL,G1 X-10.0,-10.0,100.0
7,REL,G1 X5.0,5.0,105.0
8,REL,G1 X9.0,9.0,114.0
9,REL,G1 X-4.5,-4.5,109.5
10,REL,G1 X-9.0,-9.0,100.5
11,REL,G1 X4.5,4.5,105.0
12,REL,G1 X8.0,8.0,113.0
13,REL,G1 X-4.0,-4.0,109.0
14,REL,G1 X-9.0,-9.0,100.0
15,REL,G1 X4.5,4.5,104.5
16,REL,G1 X10.0,10.0,114.5
17,REL,G1 X-5.0,-5.0,109.5
18,REL,G1 X-10.0,-10.0,99.5
19,REL,G1 X5.0,5.0,104.5
20,REL,G1 X7.0,7.0,111.5
21,REL,G1 X-3.5,-3.5,108.0
22,REL,G1 X-7.0,-7.0,101.0
23,REL,G1 X3.5,3.5,104.5
24,REL,G1 X9.0,9.0,113.5
25,REL,G1 X-4.5,-4.5,109.0
26,REL,G1 X-10.0,-10.0,99.0
27,REL,G1 X5.0,5.0,104.0
28,REL,G1 X7.0,7.0,111.0
29,REL,G1 X-3.5,-3.5,107.5
30,REL,G1 X-7.0,-7.0,100.5
31,REL,G1 X3.5,3.5,104.0
32,REL,G1 X10.0,10.0,114.0
33,REL,G1 X-5.0,-5.0,109.0
34,REL,G1 X-8.0,-8.0,101.0
35,REL,G1 X4.0,4.0,105.0
36,REL,G1 X9.0,9.0,114.0
37,REL,G1 X-4.5,-4.5,109.5
38,REL,G1 X-10.0,-10.0,99.5
39,REL,G1 X5.0,5.0,104.5
40,REL,G1 X8.0,8.0,112.5
41,REL,G1 X-4.0,-4.0,108.5
42,REL,G1 X-9.0,-9.0,99.5
43,REL,G1 X4.5,4.5,104.0
44,REL,G1 X10.0,10.0,114.0
45,REL,G1 X-5.0,-5.0,109.0
46,REL,G1 X-8.0,-8.0,101.0
47,REL,G1 X4.0,4.0,105.0
48,REL,G1 X7.0,7.0,112.0
49,REL,G1 X-3.5,-3.5,108.5
50,REL,G1 X-8.0,-8.0,100.5
51,REL,G1 X4.0,4.0,104.5
52,REL,G1 X9.0,9.0,113.5
53,REL,G1 X-4.5,-4.5,109.0
54,REL,G1 X-8.0,-8.0,101.0
55,REL,G1 X4.0,4.0,105.0
56,REL,G1 X9.0,9.0,114.0
57,REL,G1 X-4.5,-4.5,109.5
58,REL,G1 X-7.0,-7.0,102.5
59,REL,G1 X3.5,3.5,106.0
60,REL,G1 X10.0,10.0,116.0
61,REL,G1 X-5.0,-5.0,111.0
62,REL,G1 X-8.0,-8.0,103.0
63,REL,G1 X4.0,4.0,107.0
64,REL,G1 X10.0,10.0,117.0
65,REL,G1 X-5.0,-5.0,112.0
66,REL,G1 X-10.0,-10.0,102.0
67,REL,G1 X5.0,5.0,107.0
68,REL,G1 X8.0,8.0,115.0
69,REL,G1 X-4.0,-4.0,111.0
70,REL,G1 X-7.0,-7.0,104.0
71,REL,G1 X3.5,3.5,107.5
72,REL,G1 X10.0,10.0,117.5
73,REL,G1 X-5.0,-5.0,112.5
74,REL,G1 X-8.0,-8.0,104.5
75,REL,G1 X4.0,4.0,108.5
76,REL,G1 X9.0,9.0,117.5
77,REL,G1 X-4.5,-4.5,113.0
78,REL,G1 X-9.0,-9.0,104.0
79,REL,G1 X4.5,4.5,108.5
80,REL,G1 X7.0,7.0,115.5
81,REL,G1 X-3.5,-3.5,112.0
82,REL,G1 X-10.0,-10.0,102.0
83,REL,G1 X5.0,5.0,107.0
84,REL,G1 X9.0,9.0,116.0
85,REL,G1 X-4.5,-4.5,111.5
86,REL,G1 X-8.0,-8.0,103.5
87,REL,G1 X4.0,4.0,107.5
88,REL,G1 X7.0,7.0,114.5
89,REL,G1 X-3.5,-3.5,111.0
90,REL,G1 X-10.0,-10.0,101.0
91,REL,G1 X5.0,5.0,106.0
92,REL,G1 X7.0,7.0,113.0
93,REL,G1 X-3.5,-3.5,109.5
94,REL,G1 X-8.0,-8.0,101.5
95,REL,G1 X4.0,4.0,105.5
96,REL,G1 X8.0,8.0,113.5
97,REL,G1 X-4.0,-4.0,109.5
98,REL,G1 X-10.0,-10.0,99.5
99,REL,G1 X5.0,5.0,104.5
100,REL,G1 X7.0,7.0,111.5
101,REL,G1 X-3.5,-3.5,108.0
102,REL,G1 X-9.0,-9.0,99.0
103,REL,G1 X4.5,4.5,103.5
104,REL,G1 X9.0,9.0,112.5
105,REL,G1 X-4.5,-4.5,108.0
106,REL,G1 X-9.0,-9.0,99.0
107,REL,G1 X4.5,4.5,103.5
108,REL,G1 X10.0,10.0,113.5
109,REL,G1 X-5.0,-5.0,108.5
110,REL,G1 X-8.0,-8.0,100.5
111,REL,G1 X4.0,4.0,104.5
112,REL,G1 X9.0,9.0,113.5
113,REL,G1 X-4.5,-4.5,109.0
114,REL,G1 X-8.0,-8.0,101.0
115,REL,G1 X4.0,4.0,105.0
116,REL,G1 X10.0,10.0,115.0
117,REL,G1 X-5.0,-5.0,110.0
118,REL,G1 X-7.0,-7.0,103.0
119,REL,G1 X3.5,3.5,106.5
120,REL,G1 X10.0,10.0,116.5
121,REL,G1 X-5.0,-5.0,111.5
